pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty
8245,XX,cde_fo,OPTCUR,USDJPY,USDJPY25JUN145.5CE,CE,USDJPY25JUN145.5CE,,43,,,,,,100000,1,1435415400,1000,4,1.455e+09,CDS,OPTCUR,1435415400,,1435388400,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1435363200,1435415400,,,,,,315513000,0,1,0,1,0,2.13e+07,8.3e+06,5877,1,1,0,0,100,0,1e+12,0,0,10000
8246,XX,cde_fo,OPTCUR,JPYINR,JPYINR2561359.5CE,CE,JPYINR2561359.5CE,,27,,,,,,25000,1,1434292200,1000,4,5.95e+08,CDS,OPTCUR,1434292200,,1434265200,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1434240000,1434292200,,,,,,315513000,0,1,0,1,0,1.45e+07,5.95e+06,1,1,1,0,0,1,0,1e+12,1.25,0,10000
8247,XX,cde_fo,OPTCUR,JPYINR,JPYINR2561359.5PE,PE,JPYINR2561359.5PE,,27,,,,,,25000,1,1434292200,1000,4,5.95e+08,CDS,OPTCUR,1434292200,,1434265200,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1434240000,1434292200,,,,,,315513000,0,1,0,1,0,1.5025e+07,6.475e+06,1,1,1,0,0,1,0,1e+12,1.25,0,10000
8248,XX,cde_fo,OPTCUR,GBPINR,GBPINR25704112PE,PE,GBPINR25704112PE,,26,,,,,,25000,1,1436106600,1000,4,1.12e+09,CDS,OPTCUR,1436106600,,1436079600,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1436054400,1436106600,,,,,,315513000,0,1,0,1,0,1.5325e+07,7.075e+06,1,1,1,0,0,1,0,1e+12,1.25,0,10000
8249,XX,cde_fo,OPTCUR,GBPINR,GBPINR25704112.25CE,CE,GBPINR25704112.25CE,,26,,,,,,25000,1,1436106600,1000,4,1.1225e+09,CDS,OPTCUR,1436106600,,1436079600,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1436054400,1436106600,,,,,,315513000,0,1,0,1,0,2.8825e+07,1.5625e+07,1,1,1,0,0,1,0,1e+12,1.25,0,10000
8253,XX,cde_fo,OPTCUR,USDINR,USDINR2562083.875CE,CE,USDINR2562083.875CE,,1,,,,,,25000,1,1434897000,1000,4,8.3875e+08,CDS,OPTCUR,1434897000,,1434870000,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1434844800,1434897000,,,,,,315513000,0,1,0,1,0,1.2325e+07,7.025e+06,1,1,1,0,0,1,0,1e+12,0.75,0,10000
8254,XX,cde_fo,OPTCUR,EURINR,EURINR25627101.25CE,CE,EURINR25627101.25CE,,25,,,,,,25000,1,1435501800,1000,4,1.0125e+09,CDS,OPTCUR,1435501800,,1435474800,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1435449600,1435501800,,,,,,315513000,0,1,0,1,0,2.025e+06,475000,1,1,1,0,0,1,0,1e+12,1.25,0,10000
8256,XX,cde_fo,OPTCUR,USDJPY,USDJPY25JUN145.5PE,PE,USDJPY25JUN145.5PE,,43,,,,,,100000,1,1435415400,1000,4,1.455e+09,CDS,OPTCUR,1435415400,,1435388400,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1435363200,1435415400,,,,,,315513000,0,1,0,1,0,6.38e+07,3.66e+07,5877,1,1,0,0,100,0,1e+12,0,0,10000
8257,XX,cde_fo,OPTCUR,GBPINR,GBPINR25704112.25PE,PE,GBPINR25704112.25PE,,26,,,,,,25000,1,1436106600,1000,4,1.1225e+09,CDS,OPTCUR,1436106600,,1436079600,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1436054400,1436106600,,,,,,315513000,0,1,0,1,0,1.6575e+07,7.825e+06,1,1,1,0,0,1,0,1e+12,1.25,0,10000
8259,XX,cde_fo,OPTCUR,GBPINR,GBPINR25704112.5CE,CE,GBPINR25704112.5CE,,26,,,,,,25000,1,1436106600,1000,4,1.125e+09,CDS,OPTCUR,1436106600,,1436079600,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1436054400,1436106600,,,,,,315513000,0,1,0,1,0,2.715e+07,1.445e+07,1,1,1,0,0,1,0,1e+12,1.25,0,10000
